gsm_id	sample_name	assay
GSM2635212	CAPTURE-ChIP-seq_K562_sgHS1-5-rep1	ChIP-Seq
GSM2635213	CAPTURE-ChIP-seq_K562_sgHS1-5-rep2	ChIP-Seq
GSM2635214	CAPTURE-ChIP-seq_K562_sgHS1-5-rep3	ChIP-Seq
GSM2635215	CAPTURE-ChIP-seq_K562_sgHS1-5-rep4	ChIP-Seq
GSM2635216	CAPTURE-ChIP-seq_K562_sgHS1-5-rep5	ChIP-Seq
GSM2635217	CAPTURE-ChIP-seq_K562_sgHS1-5-rep6	ChIP-Seq
GSM2635218	CAPTURE-ChIP-seq_K562_sgGal4-rep1	ChIP-Seq
GSM2635219	CAPTURE-ChIP-seq_K562_sgGal4-rep2	ChIP-Seq
GSM2635220	CAPTURE-ChIP-seq_K562_sgGal4-rep3	ChIP-Seq
GSM2635221	CAPTURE-ChIP-seq_K562_sgGal4-rep4	ChIP-Seq
GSM2635222	CAPTURE-ChIP-seq_K562_no_sgRNA-rep1	ChIP-Seq
GSM2635223	CAPTURE-ChIP-seq_K562_sgHS1-sg2-rep1	ChIP-Seq
GSM2635224	CAPTURE-ChIP-seq_K562_sgHS1-sg2-rep2	ChIP-Seq
GSM2635225	CAPTURE-ChIP-seq_K562_sgHS2-sg2	ChIP-Seq
GSM2635226	CAPTURE-ChIP-seq_K562_sgHS3-sg2	ChIP-Seq
GSM2635227	CAPTURE-ChIP-seq_K562_sgHS4-sg2-rep1	ChIP-Seq
GSM2635228	CAPTURE-ChIP-seq_K562_sgHS4-sg2-rep2	ChIP-Seq
GSM2635229	CAPTURE-ChIP-seq_K562_sgHS5-sg2-rep1	ChIP-Seq
GSM2635230	CAPTURE-ChIP-seq_K562_sgHS5-sg2-rep2	ChIP-Seq
GSM2635231	CAPTURE-ChIP-seq_K562_sgHBB-sg2-rep1	ChIP-Seq
GSM2635232	CAPTURE-ChIP-seq_K562_sgHBB-sg2-rep2	ChIP-Seq
GSM2635233	CAPTURE-ChIP-seq_K562_sgHBG-sg2-rep1	ChIP-Seq
GSM2635234	CAPTURE-ChIP-seq_K562_sgHBG-sg2-rep2	ChIP-Seq
GSM2635235	CAPTURE-ChIP-seq_K562_sgHS2-Streptavidin	ChIP-Seq
GSM2635236	CAPTURE-ChIP-seq_K562_sgHS2-Cas9	ChIP-Seq
GSM2635237	CAPTURE-ChIP-seq_K562_sgHS2-Flag	ChIP-Seq
GSM2635238	CAPTURE-ChIP-seq_K562_sgHBG-Streptavidin	ChIP-Seq
GSM2635239	CAPTURE-ChIP-seq_K562_sgHBG-Cas9	ChIP-Seq
GSM2635240	CAPTURE-ChIP-seq_K562_sgHBG-Flag	ChIP-Seq
GSM2635241	CAPTURE-ChIP-seq_ESC-KH2_sgEsrrb-SE	ChIP-Seq
GSM2635242	CAPTURE-ChIP-seq_ESC-KH2_sgOct4-SE	ChIP-Seq
GSM2635243	CAPTURE-ChIP-seq_ESC-KH2_sgSox2-SE	ChIP-Seq
GSM2635244	CAPTURE-ChIP-seq_ESC-KH2_sgUtf1-SE	ChIP-Seq
GSM2635245	CAPTURE-ChIP-seq_EB-KH2_sgEsrrb-SE	ChIP-Seq
GSM2635246	CAPTURE-ChIP-seq_EB-KH2_sgOct4-SE	ChIP-Seq
GSM2635247	CAPTURE-ChIP-seq_EB-KH2_sgSox2-SE	ChIP-Seq
GSM2635248	CAPTURE-ChIP-seq_EB-KH2_sgUtf1-SE	ChIP-Seq
GSM2635249	ChIP-seq_K562_DMSO_BRD4	ChIP-Seq
GSM2635250	ChIP-seq_K562_DMSO_RNAPII	ChIP-Seq
GSM2635251	ChIP-seq_K562_JQ1-2h_BRD4	ChIP-Seq
GSM2635252	ChIP-seq_K562_JQ1-2h_RNAPII	ChIP-Seq
GSM2635253	ChIP-seq_K562_JQ1-6h_BRD4	ChIP-Seq
GSM2635254	ChIP-seq_K562_JQ1-6h_RNAPII	ChIP-Seq
GSM2635255	ChIP-seq_K562_NUP98	ChIP-Seq
GSM2635256	ChIP-seq_K562_NUP153	ChIP-Seq
GSM2635259	RNA-seq_K562_FB-dCas9-BirA_sgGal4-rep1	RNA-Seq
GSM2635260	RNA-seq_K562_FB-dCas9-BirA_sgGal4-rep2	RNA-Seq
GSM2635261	RNA-seq_K562_FB-dCas9-BirA_sgGal4-rep3	RNA-Seq
GSM2635262	RNA-seq_K562_FB-dCas9-BirA_sgHBG-rep1	RNA-Seq
GSM2635263	RNA-seq_K562_FB-dCas9-BirA_sgHBG-rep2	RNA-Seq
GSM2635264	RNA-seq_K562_FB-dCas9-BirA_sgHBG-rep3	RNA-Seq
GSM2635265	RNA-seq_K562_FB-dCas9-BirA_sgHS2-rep1	RNA-Seq
GSM2635266	RNA-seq_K562_FB-dCas9-BirA_sgHS2-rep2	RNA-Seq
GSM2635267	RNA-seq_K562_FB-dCas9-BirA_sgHS2-rep3	RNA-Seq
GSM2635268	RNA-seq_K562_FB-dCas9-BirA_sgHS1-5-rep1	RNA-Seq
GSM2635269	RNA-seq_K562_FB-dCas9-BirA_sgHS1-5-rep2	RNA-Seq
GSM2635270	RNA-seq_K562_FB-dCas9-BirA_sgHS1-5-rep3	RNA-Seq
GSM2635271	RNA-seq_K562_WT-rep1	RNA-Seq
